name,date
8,18.7
27,15.88
26,16.02
29,15.6
20,16.88
53,11.06
12,18.06
23,16.46
30,15.46
5,19.2
46,12.82
1,19.92
47,12.6
55,10.32
37,14.4
4,19.38
49,12.16
24,16.32
31,15.3
38,14.24
13,17.92
45,13.02
14,17.76
39,14.08
22,16.6
6,19.02
25,16.16
18,17.18
54,10.7
33,15.02
57,9.34
7,18.86
34,14.86
40,13.92
19,17.02
41,13.74
28,15.74
58,8.66
21,16.74
9,18.54
10,18.38
60,6.22
32,15.16
15,17.62
42,13.58
11,18.22
48,12.38
56,9.88
17,17.32
3,19.56
2,19.74
51,11.64
36,14.56
43,13.4
59,7.74
35,14.72
50,11.92
52,11.36
16,17.46
44,13.2
